"organization","slug","dataset","resource","url","operations","columns","fact"
"PGR","pgr","Incidencia Delictiva 2012-2016","Base de datos","http://busca.datos.gob.mx/#/conjuntos/incidencia-delictiva-20122016","tabla","B,D-AE","El estado con menor número total de incidencias delictivas entre 2012 y 2015 es Campeche con 2,568."
"PGR","pgr","Cumplimiento de Mandamientos Ministeriales","Base de datos","http://busca.datos.gob.mx/#/conjuntos/cumplimiento-de-mandamientos-ministeriales","tabla","A,J","Dutante 2015, se ha dado cumplimiento a 107,949 mandamientos ministeriales, atendidos por la Policía Federal Ministerial."
"PGR","pgr","Programa Institucional de Servicio Social y/o Prácticas Profesionales","Número de prestadores de servicio social y/o prácticas profesionales","http://busca.datos.gob.mx/#/conjuntos/programa-institucional-de-servicio-social-yo-practicas-profesionales","tabla","D,I","Un total de 714 alumnos se han sumando al Programa Institucional de Servicio Social y/o Prácticas Profesionales de la PGR."
"PRESIDENCIA","presidencia","MÉXICO CON RESPONSABILIDAD GLOBAL- ESTADÍSTICAS NACIONALES","Cooperación internacional Concepto","http://busca.datos.gob.mx/#/conjuntos/mexico-con-responsabilidad-global-estadisticas-nacionales","tabla","A-Q","Del 2000 al 2014, se han firmado en México 342 tratados bilaterales y multilaterales para la cooperación internacional, incluyendo tratados culturales y educativos, cooperación general, asuntos consulares, etc."
"PRESIDENCIA","presidencia","Concentrado de peticiones al C. Presidente","Relación de peticiones dirigidas al C. Presidente de mayo de 2014 a septiembre de 2016","http://busca.datos.gob.mx/#/conjuntos/concentrado-de-peticiones-al-c-presidente","tabla","A","Entre Mayo 2014 y Septiembre de 2015, hubo un total de 89,810 peticiones al C. Presidente"
"PRESIDENCIA","presidencia","Histórico del catálogo de conjuntos de Datos Abiertos en datos.gob.mx","Histórico del catálogo de recursos de Datos Abiertos en datos.gob.mx","http://busca.datos.gob.mx/#/conjuntos/historico-del-catalogo-de-conjuntos-de-datos-abiertos-en-datos-gob-mx","tabla","C","En el periodo de julio 2014 a noviembre de 2015, 150 dependencias, estados y ayuntamientos publicaron conjuntos en datos.gob.mx para hacerlos públicos."
"PRESIDENCIA","presidencia","Histórico del catálogo de conjuntos de Datos Abiertos en datos.gob.mx","Histórico del catálogo de recursos de Datos Abiertos en datos.gob.mx","http://busca.datos.gob.mx/#/conjuntos/historico-del-catalogo-de-conjuntos-de-datos-abiertos-en-datos-gob-mx","tabla","A","El total de bases de datos abiertos publicados por parte de las dependencias, estados y ayuntamientos supero los 70,000 recursos en el periodo de julio 2014 a noviembre de 2015"
"PRESIDENCIA","presidencia","México con Educación de Calidad - Tercer Informe","Inversión en ciencia y tecnología e investigadores en países seleccionados de la OCDE 1/","http://busca.datos.gob.mx/#/conjuntos/mexico-con-educacion-de-calidad--tercer-informe","tabla","B,C","La asignación presupuestaria pública para la investigación científica y experimental ha aumentado un 79% entre 1994 y 2014 en México."
"PRESIDENCIA","presidencia","México con Educación de Calidad - Tercer Informe","Inversión en ciencia y tecnología e investigadores en países seleccionados de la OCDE 1/","http://busca.datos.gob.mx/#/conjuntos/mexico-con-educacion-de-calidad--tercer-informe","tabla","B,C","El número de investigadores equivalente a tiempo completo ha aumentado casi 1.5 veces (de  17,061 a  42,404) entre 1994 y 2013.   
"
"SAGARPA","sagarpa","Apoyos otorgados en 2013 SAGARPA","Apoyos de la Cruzada contra el Hambre, 2013","http://busca.datos.gob.mx/#/conjuntos/apoyos-otorgados-en-2013-sagarpa","Procedimiento en Bash","F","Durante el 2013 se registraron 86,474 apoyos al proyecto ""Procampo Productivo"""
